# The count includes the diagonal cell (x,x).
# Ratios use exact integer arithmetic and are shown to 50 decimal places.
# "3,1 pattern" means gcd>1 blocks of lengths 3 and 1 alternate between single blue cells without end.
# combined_flag is "both" exactly when x_flag="between_primes" and pattern_flag="3,1 pattern".
# bot_boring__only=True: when True, only rows with at least one interesting flag are written.
column_x  non_blue  x_flag          pattern_flag  combined_flag                                        non_blue/total
    1062       714  between_primes  -             -              0.67231638418079096045197740112994350282485875706215
    1063         1  prime           -             -              0.00094073377234242709313264346190028222013170272813
    1069         1  prime           -             -              0.00093545369504209541627689429373246024321796071094
    1087         1  prime           -             -              0.00091996320147194112235510579576816927322907083717
    1091         1  prime           -             -              0.00091659028414298808432630614115490375802016498625
    1092       804  between_primes  -             -              0.73626373626373626373626373626373626373626373626374
    1093         1  prime           -             -              0.00091491308325709057639524245196706312900274473925
    1097         1  prime           -             -              0.00091157702825888787602552415679124886052871467639
    1103         1  prime           -             -              0.00090661831368993653671804170444242973708068902992
    1109         1  prime           -             -              0.00090171325518485121731289449954914337240757439134
    1117         1  prime           -             -              0.00089525514771709937332139659803043867502238137869
    1123         1  prime           -             -              0.00089047195013357079252003561887800534283170080142
    1129         1  prime           -             -              0.00088573959255978742249778565101860053144375553587
    1151         1  prime           -             -              0.00086880973066898349261511728931364031277150304083
    1152       768  between_primes  3,1 pattern   both           0.66666666666666666666666666666666666666666666666667
    1153         1  prime           -             -              0.00086730268863833477883781439722463139635732870772
    1163         1  prime           -             -              0.00085984522785898538263112639724849527085124677558
    1171         1  prime           -             -              0.00085397096498719043552519214346712211784799316823
    1181         1  prime           -             -              0.00084674005080440304826418289585097375105842506351
    1187         1  prime           -             -              0.00084245998315080033698399326032013479359730412805
    1193         1  prime           -             -              0.00083822296730930427493713327745180217937971500419
    1201         1  prime           -             -              0.00083263946711074104912572855953372189841798501249
    1213         1  prime           -             -              0.00082440230832646331409727947238252267106347897774
    1217         1  prime           -             -              0.00082169268693508627773212818405916187345932621200
    1223         1  prime           -             -              0.00081766148814390842191332788225674570727718724448
    1229         1  prime           -             -              0.00081366965012205044751830756712774613506916192026
    1230       910  between_primes  -             -              0.73983739837398373983739837398373983739837398373984
    1231         1  prime           -             -              0.00081234768480909829406986190089358245329000812348
    1237         1  prime           -             -              0.00080840743734842360549717057396928051738075990299
