# INCLUDE_DIAGONAL=False: The non_blue count excludes the diagonal cell (x,x).
# Ratios use exact integer arithmetic and are shown to 50 decimal places; total is column_x.
# "3,1 pattern" means gcd>1 blocks of lengths 3 and 1 alternate between single blue cells without end.
# combined_flag is "both" exactly when x_flag="between_primes" and pattern_flag="3,1 pattern".
# OUTPUT_MODE='interesting_but_only_prime_excluded': only interesting rows whose x_flag is not "prime" are written.
column_x  non_blue  x_flag          pattern_flag  combined_flag                                        non_blue/total  column_x - non_blue
   14550     10709  between_primes  -             -              0.73601374570446735395189003436426116838487972508591                 3841
   14562      9713  between_primes  -             -              0.66701002609531657739321521768987776404340063178135                 4849
   14592      9983  between_primes  -             -              0.68414199561403508771929824561403508771929824561404                 4609
   14628     10051  between_primes  -             -              0.68710691823899371069182389937106918238993710691824                 4577
   14868     10691  between_primes  -             -              0.71906107075598601022329835889157923056228140973904                 4177
   15138     10265  between_primes  -             -              0.67809486061566917690579997357643017571673933148368                 4873
   15270     11205  between_primes  -             -              0.73379174852652259332023575638506876227897838899804                 4065
   15288     11255  between_primes  -             -              0.73619832548403976975405546834118262689691261119833                 4033
   15330     11873  between_primes  -             -              0.77449445531637312459230267449445531637312459230267                 3457
   15360     11263  between_primes  -             -              0.73326822916666666666666666666666666666666666666667                 4097
   15552     10367  neither         3,1 pattern   -              0.66660236625514403292181069958847736625514403292181                 5185
   15582     11213  between_primes  -             -              0.71961237325118726735977409831857271210370940829162                 4369
   15642     10961  between_primes  -             -              0.70074159314665643779567830200741593146656437795678                 4681
   15648     10463  between_primes  -             -              0.66864775051124744376278118609406952965235173824131                 5185
